Date,Ticker,Close,Shares,MarketCap
2022-07-28 00:00:00-04:00,GOOGL,114.22000122070312,13199899648.0,1507692553907.7188
2022-07-28 00:00:00-04:00,TCEHY,38.33057403564453,9618199552.0,368671110017.53906
2022-07-28 00:00:00-04:00,TSLA,,,
2022-07-28 00:00:00-04:00,MSFT,272.63201904296875,7464000000.0,2034925390136.7188
2022-07-28 00:00:00-04:00,META,,,
2022-07-28 00:00:00-04:00,AMD,,,
2022-07-28 00:00:00-04:00,BABA,100.55000305175781,2652160000.0,266674696093.75
2022-07-28 00:00:00-04:00,AMZN,,,
2022-07-28 00:00:00-04:00,AAPL,,,
2022-07-28 00:00:00-04:00,BIDU,140.60000610351562,345551008.0,48584473833.87598
2022-07-29 00:00:00-04:00,GOOGL,116.31999969482422,13144000512.0,1528910135544.6094
2022-07-29 00:00:00-04:00,TCEHY,,,
2022-07-29 00:00:00-04:00,TSLA,,,
2022-07-29 00:00:00-04:00,MSFT,,,
2022-07-29 00:00:00-04:00,META,,,
2022-07-29 00:00:00-04:00,AMD,,,
2022-07-29 00:00:00-04:00,BABA,,,
2022-07-29 00:00:00-04:00,AMZN,,,
2022-07-29 00:00:00-04:00,AAPL,161.115234375,16243000320.0,2616994803510.0
2022-07-29 00:00:00-04:00,BIDU,,,
2022-08-02 00:00:00-04:00,GOOGL,115.12999725341797,13077300224.0,1505589538871.2422
2022-08-02 00:00:00-04:00,TCEHY,35.65327835083008,10072500224.0,359117654175.0703
2022-08-02 00:00:00-04:00,TSLA,,,
2022-08-02 00:00:00-04:00,MSFT,,,
2022-08-02 00:00:00-04:00,META,,,
2022-08-02 00:00:00-04:00,AMD,,,
2022-08-02 00:00:00-04:00,BABA,92.62000274658203,2676740096.0,247919675043.40625
2022-08-02 00:00:00-04:00,AMZN,,,
2022-08-02 00:00:00-04:00,AAPL,,,
2022-08-02 00:00:00-04:00,BIDU,134.16000366210938,350576000.0,47033277443.84766
2022-08-05 00:00:00-04:00,GOOGL,117.47000122070312,13068399616.0,1535144918844.1562
2022-08-05 00:00:00-04:00,TCEHY,,,
